idx,tax1,tax2,tax3,company,address,city,lat,lng,website
1,Accelerator/Incubator,Media,,1871,"222 W Merchandise Mart Plz Floor 12 Suite 1212, Chicago, IL 60654",Chicago,41.888617,-87.635503,https://1871.com/
2,Energy Efficiency,Engineering,Consulting,360 Energy Group,"8770 W Bryn Mawr Ave Suite 1300, Chicago, IL 60631",Chicago,41.98308,-87.845383,https://www.360eg.com/
3,Wind,Manufacturing,Professional Services,3S Lift,"455 N Cityfront Plaza Dr, Chicago, IL 60611",Chicago,41.890205,-87.621028,https://www.3slift.com/en/
4,Security/Cybersecurity,,,5thColumn,"640 N LaSalle Dr, Suite 650 Chicago, IL 60654",Chicago ,41.894614,-87.633161,https://www.5thcolumn.net/
5,Generation/Transmission,Engineering,Professional Services,A Star Electric Company,"200 Seegers Ave, Elk Grove Village, IL 60007",Elk Grove Village,42.024124,-87.966247,https://astareg.com/
6,Professional Services,Construction,,A to Z Electric Co.,"5030 W Lawrence Ave, Chicago, IL 60630",Chicago ,41.968109,-87.753928,https://electricatoz.com/
7,Thermal Energy ,Professional Services,Energy Efficiency,A. Messe Supply,"2500 W Lake St, Chicago, IL 60612",Chicago,41.884873,-87.689397,https://amessesupply.com/geothermal-heating-viable-option-for-chicago-commercial-buildings/
8,Energy Efficiency,Engineering,Professional Services,Able Services,"150 N Wacker Dr Suite 1800, Chicago, IL 60606",Chicago ,41.884758,-87.637338,https://ableserve.com/services/chicago/
9,Solar,Manufacturing,Materials,Absolute Process Instruments,"1220 American Way, Libertyville, IL 60048",Chicago ,42.298598,-88.00183,https://api-usa.com/
10,Construction,Professional Services,,Accel Construction Services Group,"4753 N Broadway Suite 802 Chicago, IL 60640",Chicago ,41.968764,-87.659118,https://www.acceldevgroup.com/
11,Construction,Energy Efficiency,Consulting,Accend Construction,"833 W Jackson Blvd, Suite 100 Chicago, IL 60607",Chicago ,41.87775,-87.648789,https://www.accendconstruction.com/
12,Wind,Wave/Water/Hydro,Professional Services,Acciona Wind Energy USA LLC,"55 E Monroe St,Chicago, IL 60603",Chicago ,41.880554,-87.625536,https://www.acciona.us/
13,Nuclear,Engineering,Manufacturing,Advance Thermal Corp.,"226 Gerry Dr, Wood Dale, IL 60191",Wood Dale,41.978773,-87.985445,https://www.advancethermal.com/
14,Construction,Consulting,Professional Services,Advanced Area Service Corp,"9840 S Prospect Ave, Chicago, IL 60643",Chicago,41.714759,-87.6640128,https://www.advancedareaservicecorp.com/
15,Enabling Technologies/Components,Oil and Gas,,Advanced Diamond Technologies,"52 E Belmont Dr, Romeoville, IL 60446",Romeoville,41.647934,-88.078561,http://www.thindiamond.com/
